,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND
65,MOL EXPLORER,9333826,TOKYO,TACOMA,2019-09-04 06:45:00,2019-09-05 11:09:00,0,28.4,5.39125831421215,0,0,0
66,MOL EXPLORER,9333826,TOKYO,TACOMA,2019-09-04 06:45:00,2019-09-05 12:06:00,0,29.35,5.471608188244199,0,0,0
67,MOL EXPLORER,9333826,TOKYO,TACOMA,2019-09-04 06:45:00,2019-09-05 12:12:00,0,29.45,5.479954395032291,0,0,0
68,BAY BRIDGE,9463267,TOKYO,TACOMA,2019-09-09 07:00:00,2019-09-13 14:52:00,0,103.86666666666666,9.154757612409421,0,0,0
69,BAY BRIDGE,9463267,TOKYO,TACOMA,2019-09-09 07:00:00,2019-09-13 13:58:00,0,102.96666666666667,9.124937191382442,0,0,0
70,BAY BRIDGE,9463267,NAGOYA,TACOMA,2019-09-09 07:00:00,2019-09-13 10:34:00,0,99.56666666666666,9.010524005580573,0,0,0
71,BAY BRIDGE,9463267,NAGOYA,TACOMA,2019-09-09 07:00:00,2019-09-13 13:19:00,0,102.31666666666666,9.103280938560863,0,0,0
72,BAY BRIDGE,9463267,NAGOYA,TACOMA,2019-09-09 07:00:00,2019-09-13 14:51:00,0,103.85,9.15420711049902,0,0,0
73,BAY BRIDGE,9463267,NAGOYA,TACOMA,2019-09-09 07:00:00,2019-09-13 14:39:00,0,103.65,9.147596020459327,0,0,0
74,BEAR MOUNTAIN BRIDGE,9463293,TOKYO,TACOMA,2019-09-15 16:30:00,2019-09-16 14:23:00,0,21.883333333333333,4.778927678197319,0,0,1
75,MOL MARVEL,9475612,SHANGHAI,CHARLESTON,2019-10-11 14:45:00,2019-10-14 10:52:00,0,68.11666666666666,7.785577135902527,0,1,0
76,MOL MARVEL,9475612,TOKYO,SAVANNAH,2019-10-08 07:25:00,2019-10-09 10:37:00,0,27.2,5.286891251522875,0,1,0
77,MOL MARVEL,9475612,TOKYO,SAVANNAH,2019-10-08 07:25:00,2019-10-09 10:45:00,0,27.333333333333332,5.298652617367171,0,1,0
78,MOL MARVEL,9475612,TOKYO,SAVANNAH,2019-10-08 07:25:00,2019-10-10 12:57:00,0,53.53333333333333,7.069813995525665,0,1,0
79,MOL MARVEL,9475612,TOKYO,SAVANNAH,2019-10-08 07:25:00,2019-10-10 12:52:00,0,53.45,7.065332934447624,0,1,0
80,MOL MARVEL,9475612,TOKYO,SAVANNAH,2019-10-08 07:25:00,2019-10-10 13:34:00,0,54.15,7.102815607970701,0,0,0
81,BRIGHTON,9332846,HO CHI MINH,NEW YORK,2019-10-15 06:29:00,2019-10-21 13:23:00,0,150.9,10.501775320761906,0,1,0
82,ONE IBIS,9741384,HONG KONG,NEW YORK,2019-10-25 08:14:00,2019-10-29 13:39:00,0,101.41666666666667,9.073127902750263,0,1,0
83,ONE IBIS,9741384,HONG KONG,NEW YORK,2019-10-25 08:14:00,2019-10-29 14:09:00,0,101.91666666666667,9.089903740060313,0,0,0
84,SEASPAN THAMES,9630377,PUSAN,NEW YORK,2019-10-25 20:29:00,2019-10-31 15:14:00,0,138.75,10.187301612759539,0,0,0
85,MOL COURAGE,9321263,NHAVA SHEVA,CHARLESTON,2019-11-02 04:04:00,2019-11-07 14:41:00,0,130.61666666666667,9.965299488982849,0,1,1
86,OOCL WASHINGTON,9417256,NHAVA SHEVA,CHARLESTON,2019-10-25 04:23:00,2019-10-29 07:57:00,0,99.56666666666666,9.010524005580573,1,0,0
87,SEASPAN THAMES,9630377,PUSAN,NEW YORK,2019-10-25 20:29:00,2019-10-30 14:03:00,0,113.56666666666666,9.464700744256334,0,0,0
88,NAVIOS CONSTELLATION,9408877,QINGDAO,SAVANNAH,2019-11-21 05:29:00,2019-11-22 10:17:00,0,28.8,5.425326869677127,0,1,0
89,MOL MAGNIFICENCE,9424900,PUSAN,CHARLESTON,2019-10-26 21:35:00,2019-10-28 09:27:00,0,35.86666666666667,5.976734293869154,0,1,1
90,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-31 14:46:00,0,113.18333333333334,9.452828853716243,0,1,1
91,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-30 06:40:00,0,81.08333333333333,8.332577417993592,0,1,1
92,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-30 13:39:00,0,88.06666666666666,8.600894092458866,0,1,1
93,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 16:20:00,0,42.75,6.441622035874844,0,1,1
94,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-29 12:36:00,0,63.016666666666666,7.5493424763881185,0,1,1
95,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-29 06:58:00,0,57.38333333333333,7.271472421329601,0,0,1
96,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 12:43:00,0,39.13333333333333,6.204843702154947,0,0,1
97,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-31 15:02:00,0,113.45,9.461090680084999,0,0,1
98,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-29 10:24:00,0,60.81666666666667,7.443085631962215,0,0,1
99,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 07:41:00,0,34.1,5.846945602233703,0,0,1
100,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-28 09:40:00,0,36.083333333333336,5.992326218944356,0,0,1
101,MOL MAGNIFICENCE,9424900,SHANGHAI,CHARLESTON,2019-10-26 21:35:00,2019-10-29 15:47:00,0,66.2,7.698370802403443,0,0,1
