,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Predicted,Error,Absolute Error,Actual
501,0,0,2,94.98333333333332,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,137.99677754973462,18.719889116932052,18.719889116932052,156.71666666666667
567,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,148.35731941822806,-11.040652751561396,11.040652751561396,137.31666666666666
853,0,0,2,20.08333333333333,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,145.27008186318076,-20.2034151965141,20.2034151965141,125.06666666666666
363,0,0,2,98.58333333333331,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,146.98007105680853,-6.413404390141864,6.413404390141864,140.56666666666666
2,0,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,67.77860870460924,79.48805796205744,79.48805796205744,147.26666666666668
101,0,0,2,21.4,48.410833333333336,174,2,0.8571428571428571,0.875,141.1055744079784,49.51109225868828,49.51109225868828,190.61666666666667
753,0,1,2,36.0,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,125.40121222976748,39.83212110356584,39.83212110356584,165.23333333333332
507,0,0,2,94.98333333333332,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,137.99677754973462,12.053222450265395,12.053222450265395,150.05
478,0,0,2,83.8,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,155.50610631452776,-41.40610631452776,41.40610631452776,114.1
208,0,1,0,20.75,19.226530612244897,760,1,1.0,1.0,63.11705884610571,-1.1003921794390408,1.1003921794390408,62.016666666666666
673,0,0,2,31.866666666666667,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,113.02450539276828,-43.274505392768276,43.274505392768276,69.75
5,0,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,67.77860870460924,-37.94527537127591,37.94527537127591,29.83333333333333
54,0,0,2,38.5,29.420617283950616,2088,1,1.0,1.0,106.23735294380477,-12.687352943804768,12.687352943804768,93.55
299,0,0,2,22.916666666666668,48.410833333333336,174,2,0.8571428571428571,0.875,38.67791052899859,-21.627910528998587,21.627910528998587,17.05
844,0,1,2,29.0,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,70.50728962333936,7.626043709993979,7.626043709993979,78.13333333333334
371,0,0,2,18.4,29.420617283950616,2088,1,1.0,1.0,83.3857720189909,19.614227981009094,19.614227981009094,103.0
430,1,1,2,43.8,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,99.70635866982407,-18.0396920031574,18.0396920031574,81.66666666666667
97,0,1,2,49.833333333333336,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,75.97237641251454,-13.872376412514534,13.872376412514534,62.1
585,1,0,2,43.91666666666666,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,140.60584234274768,-49.789175676081015,49.789175676081015,90.81666666666666
204,0,1,0,20.75,19.226530612244897,760,1,1.0,1.0,63.11705884610571,-29.017058846105705,29.017058846105705,34.1
261,0,0,2,11.35,11.35,2,1,1.0,1.0,50.5226567628609,19.960676570472437,19.960676570472437,70.48333333333333
616,1,1,2,72.5,60.25136612021858,640,2,0.4285714285714285,0.1967213114754098,109.86690379308669,-7.300237126420029,7.300237126420029,102.56666666666666
930,0,0,2,42.66666666666666,36.58333333333333,108,1,1.0,1.0,50.566069053909935,8.117264279423395,8.117264279423395,58.68333333333333
963,0,0,2,41.75,36.58333333333333,108,1,1.0,1.0,20.604112328142506,2.0958876718574935,2.0958876718574935,22.7
