SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
288011,ONE AQUILA,9806043,010E,CAI MEP,LONG BEACH,30-06-2020 15:45,14-07-2020 13:51,40ST,N,,
288012,ONE AQUILA,9806043,010E,CAI MEP,LONG BEACH,30-06-2020 15:45,14-07-2020 14:14,40ST,N,,
288013,ONE AQUILA,9806043,010E,CAI MEP,LONG BEACH,30-06-2020 15:45,14-07-2020 11:24,40ST,N,,
288202,YM WIDTH,9708447,019E,KAOHSIUNG,NEW YORK,30-07-2020 19:49,06-08-2020 17:42,40ST,N,,
291552,HYUNDAI HONOUR,9473731,022E,PUSAN,CHARLESTON,21-07-2020 18:04,22-07-2020 14:55,20ST,,,
295697,HMM PROMISE,9742168,014W,VANCOUVER,SHANGHAI,27-05-2020 02:00,15-06-2020 07:15,40ST,,,
295699,HMM PROMISE,9742168,014W,VANCOUVER,SHANGHAI,27-05-2020 02:00,12-06-2020 06:13,40ST,,,
295700,HMM PROMISE,9742168,014W,VANCOUVER,SHANGHAI,27-05-2020 02:00,13-06-2020 07:22,40ST,,,
297279,FRANKFURT EXPRESS,9450442,064W,VANCOUVER,SHANGHAI,28-07-2020 07:00,03-08-2020 18:02,40ST,N,,
298806,HMM PROMISE,9742168,015W,VANCOUVER,SHANGHAI,08-08-2020 03:30,15-08-2020 00:44,40ST,N,,
299377,SEASPAN GANGES,9630365,018W,VANCOUVER,SHANGHAI,26-08-2020 16:10,28-08-2020 15:13,40ST,N,,
299388,SEASPAN GANGES,9630365,018W,VANCOUVER,SHANGHAI,26-08-2020 16:10,31-08-2020 08:30,40ST,N,,
300125,KUALA LUMPUR EXPRESS,9343730,083E,NINGBO,OAKLAND,17-07-2020 04:54,24-07-2020 15:37,40HC,N,,
302819,UNAYZAH,9525871,018E,YANTIAN,NEW YORK,28-07-2020 16:50,31-07-2020 14:35,20ST,N,,
302832,HYUNDAI AMBITION,9475703,025E,PUSAN,CHARLESTON,01-08-2020 23:00,03-08-2020 07:45,20ST,N,,
302834,HYUNDAI AMBITION,9475703,025E,PUSAN,CHARLESTON,01-08-2020 23:00,03-08-2020 08:21,20ST,N,,
302835,HYUNDAI AMBITION,9475703,025E,PUSAN,CHARLESTON,01-08-2020 23:00,04-08-2020 09:16,20ST,N,,
302836,HYUNDAI AMBITION,9475703,025E,PUSAN,CHARLESTON,01-08-2020 23:00,04-08-2020 09:15,20ST,N,,
303336,NYK THEMIS,9356696,067E,KAOHSIUNG,TACOMA,13-07-2020 05:42,15-07-2020 11:12,20ST,N,,
303415,HYUNDAI HONOUR,9473731,022E,PUSAN,CHARLESTON,21-07-2020 18:04,22-07-2020 15:30,20ST,,,
305668,FRANKFURT EXPRESS,9450442,064W,VANCOUVER,SHANGHAI,28-07-2020 07:00,03-08-2020 18:20,40ST,N,,
305779,PRAGUE EXPRESS,9450399,063W,VANCOUVER,SHANGHAI,04-09-2020 17:15,10-09-2020 07:00,40ST,N,,
305829,SEASPAN THAMES,9630377,016W,VANCOUVER,SHANGHAI,07-09-2020 01:00,08-09-2020 05:48,40ST,N,,
305872,SEASPAN THAMES,9630377,016W,VANCOUVER,SHANGHAI,07-09-2020 01:00,08-09-2020 07:46,40ST,N,,
305873,SEASPAN THAMES,9630377,016W,VANCOUVER,SHANGHAI,07-09-2020 01:00,08-09-2020 09:30,40ST,N,,
306267,MOL MISSION,9475650,056E,MUNDRA,JACKSONVILLE,19-08-2020 13:15,21-08-2020 09:20,40HC,N,,
306717,SEASPAN HARRIER,9793923,002E,SHANGHAI,NEW YORK,25-07-2020 08:48,29-07-2020 15:58,20ST,N,,
306754,PRAGUE EXPRESS,9450399,063W,VANCOUVER,SHANGHAI,04-09-2020 17:15,09-09-2020 19:01,40ST,N,,
308104,YM MUTUALITY,9455870,076E,KEELUNG,LOS ANGELES,08-07-2020 03:49,14-07-2020 01:03,20ST,N,,
308106,YM MUTUALITY,9455870,076E,KEELUNG,LOS ANGELES,08-07-2020 03:49,14-07-2020 13:31,40ST,N,,
309913,UNAYZAH,9525871,018E,CAI MEP,NEW YORK,28-07-2020 16:50,06-08-2020 17:28,40ST,N,,
312387,AL QIBLA,9525924,018E,CAI MEP,NEW YORK,06-08-2020 19:25,13-08-2020 16:33,40ST,N,,
317634,HYUNDAI HOPE,9637234,040E,SHANGHAI,NEW YORK,01-08-2020 16:04,06-08-2020 16:19,40ST,N,,
317641,HYUNDAI HOPE,9637234,040E,SHANGHAI,NEW YORK,01-08-2020 16:04,06-08-2020 16:19,40ST,N,,
321803,HYUNDAI HOPE,9637234,040E,SHANGHAI,NEW YORK,01-08-2020 16:04,06-08-2020 20:55,40HC,N,,
321838,AL QIBLA,9525924,018E,HONG KONG,NEW YORK,06-08-2020 19:25,12-08-2020 00:00,LCL,N,,
322086,PRAGUE EXPRESS,9450399,063W,VANCOUVER,SHANGHAI,04-09-2020 17:15,08-09-2020 08:03,40ST,N,,
322091,ONE COSMOS,9388340,076W,VANCOUVER,SHANGHAI,01-09-2020 01:30,02-09-2020 21:30,40ST,N,,
322092,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,14-09-2020 21:26,40ST,N,,
