,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND,LENGTH,CLUSTER,VESSEL_CATEGORY,Terminal,Departure Time,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO
36,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-18 15:00:00,0,127.0,9.863309291162928,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
37,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 14:24:00,0,78.4,8.224955703098843,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
38,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 15:58:00,0,79.96666666666667,8.288113383478967,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
39,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-17 16:02:00,0,104.03333333333332,9.160259066165343,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
40,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 17:00:00,0,81.0,8.329274791422812,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
41,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 13:45:00,0,77.75,8.198479726301517,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
42,MOL MISSION,9475650,PUSAN,CHARLESTON,2019-11-28 16:55:00,2019-12-02 10:19:00,0,89.4,8.650332094056836,0,1,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-11-29 07:24:00,14.483333333333333,19.226530612244897,760,1,1.0,1.0
43,MOL MISSION,9475650,SHANGHAI,CHARLESTON,2019-11-28 16:55:00,2019-12-03 14:33:00,0,117.63333333333334,9.588868981180273,0,1,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-11-29 07:24:00,14.483333333333333,19.226530612244897,760,1,1.0,1.0
44,MOL MISSION,9475650,SHANGHAI,CHARLESTON,2019-11-28 16:55:00,2019-12-02 05:22:00,0,84.45,8.463966825580604,0,1,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-11-29 07:24:00,14.483333333333333,19.226530612244897,760,1,1.0,1.0
45,MOL MISSION,9475650,SHANGHAI,SAVANNAH,2019-11-25 06:20:00,2019-12-02 10:17:00,0,171.95,11.005131253064771,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
46,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-11-29 11:30:00,0,101.16666666666669,9.064717194295689,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
47,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-11-29 13:07:00,0,102.78333333333332,9.118839208461162,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
48,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-11-29 13:51:00,0,103.51666666666668,9.143183419907697,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
49,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-12-02 10:22:00,0,172.03333333333333,11.007031558137887,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
50,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-11-27 08:19:00,0,49.98333333333333,6.87419696910592,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
51,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-11-25 06:20:00,2019-11-26 16:08:00,0,33.8,5.824418216287744,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-26 10:35:00,28.25,29.420617283950616,2088,1,1.0,1.0
52,MOL MISSION,9475650,TOKYO,NORFOLK,2019-11-30 17:20:00,2019-12-03 06:45:00,0,61.41666666666666,7.472341098187795,0,1,1,302,0,Medium,NIT (NORFOLK INTL TERMINAL),2019-12-01 19:00:00,25.666666666666668,25.135897435897434,39,2,0.9090909090909091,0.9230769230769231
53,MOL MISSION,9475650,MUNDRA,JACKSONVILLE,2020-08-19 13:15:00,2020-08-21 09:20:00,0,44.083333333333336,6.525199777618876,0,1,0,302,0,Medium,TRAPAC JACKSONVILLE,2020-08-20 02:30:00,13.25,20.633333333333336,6,1,1.0,1.0
54,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-24 09:33:00,0,93.55,8.80082137166812,0,0,0,335,2,Large,GARDEN CITY TERMINAL,2019-09-22 02:30:00,38.5,29.420617283950616,2088,1,1.0,1.0
55,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-23 16:31:00,0,76.51666666666667,8.147793008067705,0,0,0,335,2,Large,GARDEN CITY TERMINAL,2019-09-22 02:30:00,38.5,29.420617283950616,2088,1,1.0,1.0
56,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-27 10:52:00,0,166.86666666666667,10.887911294917082,0,0,0,335,2,Large,GARDEN CITY TERMINAL,2019-09-22 02:30:00,38.5,29.420617283950616,2088,1,1.0,1.0
57,HANOI BRIDGE,9588093,SHANGHAI,NORFOLK,2019-09-27 05:54:00,2019-09-30 15:24:00,0,81.5,8.3490532567542,0,0,0,335,2,Large,NIT (NORFOLK INTL TERMINAL),2019-09-28 17:35:00,35.68333333333333,25.135897435897434,39,2,0.9090909090909091,0.9230769230769231
58,HANOI BRIDGE,9588093,SHANGHAI,NORFOLK,2019-09-27 05:54:00,2019-09-30 16:10:00,0,82.26666666666667,8.379207848460704,0,0,0,335,2,Large,NIT (NORFOLK INTL TERMINAL),2019-09-28 17:35:00,35.68333333333333,25.135897435897434,39,2,0.9090909090909091,0.9230769230769231
59,HANOI BRIDGE,9588093,HONG KONG,SAVANNAH,2019-12-02 12:59:00,2019-12-03 16:27:00,0,27.466666666666665,5.310371917883151,0,1,0,335,2,Large,GARDEN CITY TERMINAL,2019-12-04 01:14:00,36.25,29.420617283950616,2088,1,1.0,1.0
60,MOL PARADISE,9307047,HO CHI MINH,NEW YORK,2019-09-24 12:06:00,2019-09-25 12:12:00,0,24.1,5.000661580961958,0,0,0,293,0,Medium,GCT BAYONNE TERMINAL,2019-09-25 17:30:00,29.4,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
61,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:16:00,0,152.76666666666668,10.548424201593551,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
62,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-27 15:27:00,0,81.95,8.366777817368176,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
63,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:12:00,0,148.7,10.44624893667484,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
64,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-10-01 08:08:00,0,170.63333333333333,10.975016264135856,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
65,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-27 14:34:00,0,81.06666666666666,8.331917092195672,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
66,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:13:00,0,148.71666666666667,10.446671852226538,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
67,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:46:00,0,149.26666666666668,10.4606085766624,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
68,MOL MAESTRO,9415727,PUSAN,SAVANNAH,2019-09-24 05:30:00,2019-09-30 16:25:00,0,154.91666666666666,10.601637749397348,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
69,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-28 10:28:00,0,100.96666666666668,9.057977629018437,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
70,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:46:00,0,153.26666666666668,10.560848296254584,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
71,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 15:05:00,0,153.58333333333334,10.56870149946577,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
72,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:57:00,0,153.45,10.565396338541005,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
73,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 17:06:00,0,35.6,5.957448970807464,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
74,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 13:35:00,0,32.083333333333336,5.692606464952173,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
75,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 15:36:00,0,34.1,5.846945602233703,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-25 09:45:00,28.25,29.420617283950616,2088,1,1.0,1.0
76,MOL MAESTRO,9415727,TOKYO,NORFOLK,2019-09-29 17:45:00,2019-10-01 07:29:00,0,37.73333333333333,6.108863919898652,0,0,1,302,0,Medium,NIT (NORFOLK INTL TERMINAL),2019-09-30 16:35:00,22.833333333333332,25.135897435897434,39,2,0.9090909090909091,0.9230769230769231
77,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 06:44:00,0,14.65,3.915323490371476,0,0,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-09-28 11:01:00,18.933333333333334,19.226530612244897,760,1,1.0,1.0
78,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 08:58:00,0,16.883333333333333,4.210219530315304,0,0,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-09-28 11:01:00,18.933333333333334,19.226530612244897,760,1,1.0,1.0
79,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 09:51:00,0,17.766666666666666,4.3189548466968,0,0,0,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-09-28 11:01:00,18.933333333333334,19.226530612244897,760,1,1.0,1.0
80,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-12-03 12:49:00,2019-12-04 15:54:00,0,27.08333333333333,5.27656526813563,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-12-04 23:10:00,34.35,29.420617283950616,2088,1,1.0,1.0
81,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-12-03 12:49:00,2019-12-05 15:47:00,0,50.96666666666667,6.929377812798591,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-12-04 23:10:00,34.35,29.420617283950616,2088,1,1.0,1.0
82,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-12-03 12:49:00,2019-12-05 14:28:00,0,49.65,6.855310685244727,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-12-04 23:10:00,34.35,29.420617283950616,2088,1,1.0,1.0
83,MOL MAESTRO,9415727,COLOMBO,SAVANNAH,2020-12-12 06:09:00,2020-12-12 19:42:00,0,13.55,3.757771531000373,0,1,1,302,0,Medium,GARDEN CITY TERMINAL,2020-12-13 00:14:00,18.083333333333332,29.420617283950616,2088,1,1.0,1.0
84,MOL MAESTRO,9415727,COLOMBO,SAVANNAH,2020-12-12 06:09:00,2020-12-12 19:42:00,0,13.55,3.757771531000373,0,1,1,302,0,Medium,GARDEN CITY TERMINAL,2020-12-13 00:14:00,18.083333333333332,29.420617283950616,2088,1,1.0,1.0
85,MOL MAESTRO,9415727,COLOMBO,SAVANNAH,2020-12-12 06:09:00,2020-12-12 19:42:00,0,13.55,3.757771531000373,0,1,1,302,0,Medium,GARDEN CITY TERMINAL,2020-12-13 00:14:00,18.083333333333332,29.420617283950616,2088,1,1.0,1.0
86,MOL MAESTRO,9415727,COLOMBO,SAVANNAH,2020-12-12 06:09:00,2020-12-12 11:23:00,0,5.233333333333333,2.0783290503520604,0,1,1,302,0,Medium,GARDEN CITY TERMINAL,2020-12-13 00:14:00,18.083333333333332,29.420617283950616,2088,1,1.0,1.0
87,SEASPAN GANGES,9630365,PUSAN,NEW YORK,2019-09-26 08:39:00,2019-10-02 11:22:00,0,146.71666666666667,10.395671466254663,0,0,0,336,2,Large,GCT BAYONNE TERMINAL,2019-09-28 22:09:00,61.5,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
88,SEASPAN GANGES,9630365,QINGDAO,SAVANNAH,2019-12-27 06:49:00,2019-12-31 10:01:00,0,99.2,8.99801475429631,0,1,0,336,2,Large,GARDEN CITY TERMINAL,2019-12-28 09:24:00,26.583333333333332,29.420617283950616,2088,1,1.0,1.0
89,SEASPAN GANGES,9630365,PUSAN,NEW YORK,2019-12-15 05:44:00,2019-12-19 13:49:00,0,104.08333333333331,9.161908239853403,0,0,1,336,2,Large,GCT BAYONNE TERMINAL,2019-12-17 11:59:00,54.25,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
90,SEASPAN GANGES,9630365,NINGBO,NEW YORK,2019-12-15 05:44:00,2019-12-23 08:00:00,1,194.26666666666668,11.491535938390497,0,0,1,336,2,Large,GCT BAYONNE TERMINAL,2019-12-17 11:59:00,54.25,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
